DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Gonda,MEHNAUN,GEN,PRATIBHA SINGH,F,GEN,42,IND,17619,4,0,Graduate,"Rs 3,28,36,497","Rs 73,88,000"
Gonda,MEHNAUN,GEN,RAHUL SHUKLA,M,GEN,30,SP,42526,3,0,Graduate,"Rs 32,00,913",Rs 0
Lalitpur,MEHRONI,SC,BRIJLAL KHABRI,M,SC,54,INC,43171,3,0,Post Graduate,"Rs 3,95,18,239","Rs 34,00,000"
Lalitpur,MEHRONI,SC,RAKESH KUMAR,M,SC,58,SP,27031,4,0,Graduate Professional,"Rs 22,49,000",Rs 0
Allahabad,MEJA,GEN,NEELAM KARWARIYA,F,GEN,47,BJP,67807,1,0,Post Graduate,"Rs 19,00,36,935","Rs 64,13,099"
Sant Kabir Nagar,MENHDAWAL,GEN,ER. MOHAMMAD IRFAN,M,GEN,31,PECP,25499,4,0,Graduate Professional,"Rs 5,90,65,845","Rs 2,50,000"
Sant Kabir Nagar,MENHDAWAL,GEN,JAICHAND,M,GEN,53,SP,37557,3,0,10th Pass,"Rs 1,85,51,800","Rs 8,50,000"
Rampur,MILAK,SC,RADHEY SHYAM,M,SC,53,BSP,39271,3,0,12th Pass,"Rs 44,21,380","Rs 2,18,811"
Rampur,MILAK,SC,RAJ BALA,F,SC,34,BJP,89861,1,0,Post Graduate,"Rs 11,71,36,030","Rs 1,54,69,786"
Rampur,MILAK,SC,VIJAY SINGH,M,SC,57,SP,73194,2,0,10th Pass,"Rs 2,00,000",Rs 0
Faizabad,MILKIPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2727,4,0,0,0,0
Faizabad,MILKIPUR,SC,RAMGOPAL,M,SC,42,BSP,46027,3,0,Graduate,"Rs 11,54,244",Rs 0
Mirzapur,MIRZAPUR,GEN,ASHA KUMAR,M,GEN,61,IND,2275,4,0,Post Graduate,"Rs 1,39,18,462","Rs 6,95,774"
Mirzapur,MIRZAPUR,GEN,MO. PERVEJ KHAN,M,GEN,48,BSP,49955,3,0,10th Pass,"Rs 5,91,17,692","Rs 2,75,000"
Mirzapur,MIRZAPUR,GEN,RATNAKAR MISHR,M,GEN,58,BJP,109196,1,0,Others,"Rs 5,23,28,714","Rs 8,18,939"
Sitapur,MISRIKH,SC,MANISH KUMAR RAWAT,M,SC,46,BSP,65731,2,0,Graduate,"Rs 3,49,23,000","Rs 1,80,000"
Sitapur,MISRIKH,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2222,4,0,0,0,0
Sitapur,MISRIKH,SC,RAM KRISHNA BHARGAWA,M,SC,54,BJP,86403,1,0,12th Pass,"Rs 1,84,98,629","Rs 12,50,000"
Sitapur,MISRIKH,SC,RAM PAL RAJVANSHI,M,SC,58,SP,61231,3,0,8th Pass,"Rs 2,34,39,548",Rs 0
Ghaziabad,MODI NAGAR,GEN,DR. MANJU SHIWACH,F,GEN,55,BJP,108631,1,0,Graduate,"Rs 13,14,24,096","Rs 1,11,78,392"
Ghazipur,MOHAMMADABAD,GEN,ALKA RAI,F,GEN,57,BJP,122156,1,0,12th Pass,"Rs 5,14,11,096","Rs 6,61,808"
Ghazipur,MOHAMMADABAD,GEN,JANAK KUMAR,M,GEN,45,INC,9910,3,0,12th Pass,"Rs 68,57,334",Rs 0
Ghazipur,MOHAMMADABAD,GEN,SIBGATULLA ANSARI,M,GEN,64,BSP,89429,2,0,Graduate,"Rs 4,63,88,220",Rs 0
Kheri,MOHAMMDI,GEN,DAUD AHMAD,M,GEN,48,BSP,57902,3,0,10th Pass,"Rs 8,83,22,056","Rs 1,77,36,114"
Kheri,MOHAMMDI,GEN,LOKENDRA PRATAP SINGH,M,GEN,54,BJP,93000,1,0,Graduate Professional,"Rs 2,26,55,443","Rs 16,00,000"
Kheri,MOHAMMDI,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2330,4,0,0,0,0
Kheri,MOHAMMDI,GEN,SANJAY SHARMA,M,GEN,51,INC,59082,2,0,Graduate,"Rs 1,10,64,159",Rs 0
Unnao,MOHAN,SC,BHAGWAN DAS KATHERIA,M,SC,61,INC,34465,3,0,Post Graduate,"Rs 77,35,947",Rs 0
Unnao,MOHAN,SC,BRIJESH KUMAR,M,SC,50,BJP,104884,1,0,Post Graduate,"Rs 1,13,91,077","Rs 5,00,000"
Unnao,MOHAN,SC,SUNIL KUMAR,M,SC,40,BMUP,3316,4,0,Graduate,"Rs 2,89,30,947",Rs 0
Lucknow,MOHANLALGANJ,SC,AJAY PUSHPA RAWAT,F,SC,47,IND,9464,4,0,Graduate,"Rs 88,18,753",Rs 0
Lucknow,MOHANLALGANJ,SC,AMBRISH SINGH PUSHKAR,M,SC,42,SP,71574,1,0,Graduate Professional,"Rs 6,60,85,956","Rs 13,00,000"
Lucknow,MOHANLALGANJ,SC,RAM BAHADUR,M,SC,61,BSP,71044,2,0,Post Graduate,"Rs 9,57,10,000",Rs 0
Sitapur,MOHMOODABAD,GEN,NARENDRA SINGH VERMA,M,GEN,53,SP,81469,1,0,Graduate Professional,"Rs 5,84,90,971",Rs 0
Sitapur,MOHMOODABAD,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1896,4,0,0,0,0
Moradabad,MORADABAD NAGAR,GEN,B.K SAINI,M,GEN,58,SHS,2022,4,0,Post Graduate,"Rs 2,62,89,821","Rs 10,00,000"
Moradabad,MORADABAD NAGAR,GEN,MOHAMMAD YUSUF ANSARI,M,GEN,60,SP,120274,2,0,Literate,"Rs 4,83,57,329","Rs 20,10,938"
Moradabad,MORADABAD NAGAR,GEN,RITESH KUMAR GUPTA,M,GEN,44,BJP,123467,1,0,12th Pass,"Rs 6,19,14,586","Rs 1,42,45,861"
Moradabad,MORADABAD RURAL,GEN,HARIOM SHARMA,M,GEN,44,BJP,69135,2,0,12th Pass,"Rs 10,21,02,118","Rs 88,30,112"
Moradabad,MORADABAD RURAL,GEN,MOHD KAMRANUL HAQ,M,GEN,25,RLD,23404,3,0,Post Graduate,"Rs 31,17,000",Rs 0
Moradabad,MORADABAD RURAL,GEN,PANNALAL URF BABLU SAINI,M,GEN,30,BSP,20054,4,0,8th Pass,"Rs 12,70,092","Rs 4,49,654"
Azamgarh,MUBARAKPUR,GEN,AVINASH YADAV,M,GEN,26,PECP,1697,4,0,12th Pass,"Rs 21,43,638","Rs 5,44,000"
Azamgarh,MUBARAKPUR,GEN,LUXMAN MOURYA,M,GEN,39,BJP,44489,3,0,Graduate,"Rs 17,90,000","Rs 1,90,000"
